"146","M6X16 PAN HD PHILIPS","060618C01",400,"2023-06-13 23:12:59","Kanban Stock",0,0,2
"147","6 x 20mm SCREW","15888",1000,"2023-06-05 01:48:19","Kanban Stock",0,0,2
"148","6 X 25MM HEX HEAD SCREW","SSM625Z8",800,"2023-06-05 01:48:19","Kanban Stock",0,0,2
"149","6MM EXTERNAL TOOTH WASHER ZP ","WETM6Z",0,"2023-06-05 01:48:19","Kanban Stock",0,0,2
"150","6MM INTERNAL TOOTH WASHER ZP ","WITM6Z",0,"2023-06-05 01:48:19","Kanban Stock",0,0,2
"151","M6 X 20 MACHINE SCREWS PAN SLO","MTM620PSBR",1000,"2023-06-05 01:48:19","Kanban Stock",0,0,2
"152","M6 X 30 MACHINE SCREWS PAN ","MTM630PSBR",800,"2023-06-05 01:48:19","Kanban Stock",0,0,2
"153","6MM FL BR WASHER","WFM6BR",0,"2023-06-05 01:48:19","Kanban Stock",0,0,2
"154","6MM BRASS NUT","NM6BR",400,"2023-06-05 01:48:19","Kanban Stock",0,0,2
"155","SCREW M8 X 40 HEX SET 8.8 H/T","060609C30",1000,"2023-06-05 01:48:19","Kanban Stock",0,0,2
"156","SCREW SET HIGHTENSILE GR8.8 8x50MM","30208",300,"2023-06-05 01:48:19","Kanban Stock",0,0,2
"157","M8 X 75MM SCREW","SSM875Z8",200,"2023-06-05 01:48:19","Kanban Stock",0,0,2
"158","M8 x 3 x 2.0 SPRING WASHER ZP","33042",2029,"2023-06-13 23:15:06","Kanban Stock",0,0,2
"159","WSH-FL-AS1237-BRIGHT-NORMAL- (A2K)-D8-4R","8347",4800,"2023-06-05 01:48:19","Kanban Stock",0,0,2
"160","5/16 X 1 1/4 X 16G FLAT WASHER","WF51611416Z",3600,"2023-06-05 01:48:19","Kanban Stock",0,0,2
"161","M10 X 40MM SCREW","SSM1040Z8",300,"2023-06-05 01:48:19","Kanban Stock",0,0,2
"162","M10 X 50MM SCREW","SSM1050ZP",225,"2023-06-05 01:48:19","Kanban Stock",0,0,2
"163","M10 X 120MM SCREW","SSM10120ZP",100,"2023-06-05 01:48:19","Kanban Stock",0,0,2
"164","WASHER SPRING COIL ZINC (STD) MM 10X3.5X2.2","33045",400,"2023-06-05 01:48:19","Kanban Stock",0,0,2
"165","10mm Flat washer","8348",800,"2023-06-05 01:48:19","Kanban Stock",0,0,2
"166","Lockwasher 10mm internal","WITM10Z",0,"2023-06-05 01:48:19","Kanban Stock",0,0,2
"167","M12 HEX NUT CL 8 ZP","3181",700,"2023-06-05 01:48:19","Kanban Stock",0,0,2
"168","M6 X 25 GRUB SCREW","GSM625P",80,"2023-06-05 01:48:19","Kanban Stock",0,0,2
"169","M8 X 25 GRUB SCREW","GSM825P",500,"2023-06-05 01:48:19","Kanban Stock",0,0,2
"170","M10 X 25 GRUB SCREW","GSM1025P",0,"2023-06-05 01:48:19","Kanban Stock",0,0,2
"171","SCREW 8-18 X 12 METAL SDS BUTTON WAFER HEAD ","TSB812ZY",2000,"2023-06-05 01:48:19","Kanban Stock",0,0,2
"172","12mm SADDLE MOUNTING SCREW","TSP8127",0,"2023-06-05 01:48:19","Kanban Stock",0,0,2
"173","8G X 1 IN PAN XR SELF TAPPING SCREW ZP","ST81PXZ",2000,"2023-06-05 01:48:19","Kanban Stock",0,0,2
"174","M8 X 45MM SCREW","SSM845S",700,"2023-06-05 01:48:19","Kanban Stock",0,0,2
"175","6MM SP WASHER SS","WSM6S",0,"2023-06-05 01:48:19","Kanban Stock",0,0,2
"176","8MM SP WASHER SS","WSM8S",0,"2023-06-05 01:48:19","Kanban Stock",0,0,2
"177","10MM SP WASHER SS","WSM10S",0,"2023-06-05 01:48:19","Kanban Stock",0,0,2
"178","6MM FL WASHER SS","WFM6S",0,"2023-06-05 01:48:19","Kanban Stock",0,0,2
"179","8MM FL WASHER SS","363400108",0,"2023-06-05 01:48:19","Kanban Stock",0,0,2
"180","8MM NUT SS","NM8S",0,"2023-06-05 01:48:19","Kanban Stock",0,0,2
"181","Self Tapping Screw 5mm x 12","TTM512PZZ",0,"2023-06-05 01:48:19","Kanban Stock",0,0,2
"0","Test","MX",378,"2023-06-26 00:12:18","Kanban Stock",500,1500,2
"BH1","KDN400 TOP HAT FOR ADV","ADVTHKDN400",13,"2023-06-15 22:52:23","TopHats",0,0,2
"BH2","ADV-CONTROL SWITCH","ADVTHCS3F50DV",40,"2023-06-15 22:52:23","TopHats",0,0,2
"BH3","ADV Cable Support Bracket","ADVCSUPBKT",100,"2023-06-15 22:52:23","TopHats",0,0,2
"BH4","Contactor Mounting Bkt (Ext)","ADV-CC50 ",61,"2023-06-15 22:52:23","TopHats",0,0,2
"BH5","SFM3-G3 MCB TOP HAT FOR ADV","ADVTHSFM3G3",1,"2023-06-15 22:52:23","TopHats",0,0,2
"BH6","TS250 4P MCCB TOP HAT FOR ADVD","TS250MCCB-ADV",25,"2023-06-21 06:54:33","TopHats",0,0,2
"BH7","ADV580 - DUCT MOUNTING BRACKET","ADV580BKTDM",0,"2023-06-15 22:52:23","TopHats",0,0,2
"BH8","ADV 700-DUCT","ADV700BKTDM",384,"2023-06-15 22:52:23","TopHats",0,0,2
"BH9","CONTACTOR MOUNTING BKT( Int )","ADV-HQFC CC50",88,"2023-06-15 22:52:23","TopHats",0,0,2
"BH10","ADV-HVC CHASSIS MAIN SWITCH MOUNTING TOP HAT","ADVHVCTHMSDIN",0,"2023-06-15 22:52:23","TopHats",0,0,2
"BH11","ADV-BKT-METAL","ADVBKTMSEG",51,"2023-06-15 22:52:23","TopHats",0,0,2
"BH12","ADV-3xF50 DV MOUNTING","ADVTH3F50DVMS",0,"2023-06-15 22:52:23","TopHats",0,0,2
"BH13","F50DV TOP HAT FOR ADV","ADVTHF50 ",69,"2023-06-15 22:52:23","TopHats",0,0,2
"BH14","ADV-CONTROL SWITCH MOUNTING","ADVTHCSDIN",202,"2023-06-15 22:52:23","TopHats",0,0,2
"BH15","ADV MAIN SWITCH TOPHAT","ADVTH",198,"2023-06-15 22:52:23","TopHats",0,0,2
"BH16","ADVTHMSDIN-EDS3250T2","ADVTHMSDIN-02",104,"2023-06-15 22:52:23","TopHats",0,0,2
"BH17","ADV-MAIN SWITCH MOUNTING","ADVTHMSDIN",405,"2023-06-15 22:52:23","TopHats",0,0,2
"BH18","ADVTHMSDIN-EDS3250 - 46.5mmW","ADVTHMSDIN-01",215,"2023-06-15 22:52:23","TopHats",0,0,2
"BH19","CUSTOM BRACKET 1","BRKT00001",83,"2023-06-15 22:52:23","TopHats",0,0,2
"BH20","HPS SIDE MOUNTING BRACKET","HPS_SIDEMTNBKT",101,"2023-06-15 22:52:23","TopHats",0,0,2
"BH21","HPS SIDE MOUNTING BRACKET(300)","HPSSIDEMTNBKT300",60,"2023-06-15 22:52:23","TopHats",0,0,2
"BH22","HPS E&N MOUNTING BRACKETS","HPS-E&NBKT-TYPE2",51,"2023-06-15 22:52:23","TopHats",0,0,2
"BH23","HPS HIGH MOUNTING BRACKET","HPS_HIGH MT_BRKT",31,"2023-06-15 22:52:23","TopHats",0,0,2
