"87","M4 x 10 MACHINE SCREW CHEESE SLOT ZP","MTM410CHSZ",500,1500,500,1000,0.0364,1,0.0364,386,600,986,35.8904,"2023-06-28 04:33:06","Kanban Stock",2
"139","M5 X 20 PAN PHIL METAL THREAD","MTM520CXZ",400,800,400,400,0.0473,1,0.0473,683,800,1483,70.1459,"2023-06-28 04:33:06","Kanban Stock",2
"141","M5 X 30 PAN PHIL METAL THREAD","MTM530CXZ",100,300,100,200,0.0434,1,0.0434,566,1000,1566,67.9644,"2023-06-28 04:33:06","Kanban Stock",2
"151","M6 X 20 MACHINE SCREWS PAN SLO","MTM620PSBR",200,200,0,200,0.1046,1,0.1046,400,1000,1400,146.44,"2023-06-28 04:33:06","Kanban Stock",2
"152","M6 X 30 MACHINE SCREWS PAN ","MTM630PSBR",200,200,0,200,0.9,1,0.9,202,800,1002,901.8,"2023-06-28 04:33:06","Kanban Stock",2
"101","M6 X 40 PAN PHIL METAL THREAD","MTM640PXZ",100,100,0,100,13.18,100,0.1318,210,1000,1210,159.478,"2023-06-28 04:33:06","Kanban Stock",2
"144","5MM BRASS NUT","NM5BR",250,250,0,250,0.1112,1,0.1112,842,0,842,93.6304,"2023-06-28 04:33:06","Kanban Stock",2
"97","M5 HEX NUT ZP","NM5Z",500,500,0,500,0.018,1,0.018,1568,3000,4568,82.224,"2023-06-28 04:33:06","Kanban Stock",2
"154","6MM BRASS NUT","NM6BR",150,150,0,150,0.1762,1,0.1762,789,400,1189,209.502,"2023-06-28 04:33:06","Kanban Stock",2
"107","6mm nut","NM6Z",500,1500,500,1000,0.0227,1,0.0227,985,2250,3235,73.4345,"2023-06-28 04:33:06","Kanban Stock",2
"180","8MM NUT SS","NM8S",250,250,0,250,0.0664,1,0.0664,244,0,244,16.2016,"2023-06-28 04:33:06","Kanban Stock",2
"131","RIVET BLIND ALUM DOME (ASP-5-4)","RAS54",500,1500,500,1000,0.0211,1,0.0211,481,2000,2481,52.3491,"2023-06-28 04:33:06","Kanban Stock",2
"133","6 - 12 Rivet","RAS612",250,250,0,250,0.0573,1,0.0573,204,300,504,28.8792,"2023-06-28 04:33:06","Kanban Stock",2
"132","RIVET ALUMINIUM STEEL STEM 6-8","RAS68",500,1500,500,1000,0.0359,1,0.0359,151,3000,3151,113.121,"2023-06-28 04:33:06","Kanban Stock",2
"31","Ring Red 8mm","RL1-8",300,900,300,600,5.68,100,0.0568,795,3600,4395,249.636,"2023-06-28 04:33:06","Kanban Stock",2
"36","Round Lug Ring Blue 6mm","RL2-6",300,900,300,600,5.9,100,0.059,676,4000,4676,275.884,"2023-06-28 04:33:06","Kanban Stock",2
"37","RING TERMANAL STD 1.04-2.63mm","RL2-8",300,900,300,600,5.1,100,0.051,264,300,564,28.764,"2023-06-28 04:33:06","Kanban Stock",2
"42","Ring Yellow 10mm Copper Sleeve","RL5-10CS",100,100,0,100,19.76,100,0.1976,167,0,167,32.9992,"2023-06-28 04:33:06","Kanban Stock",2
"43","Ring Yellow 12mm Copper Sleeve","RL5-12CS",100,100,0,100,19.4,100,0.194,390,0,390,75.66,"2023-06-28 04:33:06","Kanban Stock",2
"39","Ring Yellow 5mm Copper Sleeve","RL5-5CS",100,300,100,200,15.11,100,0.1511,525,400,925,139.768,"2023-06-28 04:33:06","Kanban Stock",2
"40","Ring Yellow 6mm Copper Sleeve","RL5-6CS",400,1200,400,800,18.01,100,0.1801,242,1500,1742,313.734,"2023-06-28 04:33:06","Kanban Stock",2
"41","Ring Yellow 8mm Copper Sleeve","RL5-8CS",400,1200,400,800,21.44,100,0.2144,371,3800,4171,894.262,"2023-06-28 04:33:06","Kanban Stock",2
"48.2","M8 X 25 MM SOCKET HEAD CAP SCREW CL 12.9 ZP","SHCSM825Z",100,300,100,200,0.1476,1,0.1476,232,400,632,93.2832,"2023-06-28 04:33:06","Kanban Stock",2
"26","Spade Red 3mm","SL1-3",100,300,100,200,3.84,100,0.0384,1017,1300,2317,88.9728,"2023-06-28 04:33:06","Kanban Stock",2
"27","Spade Red 3.5mm","SL1-3.5",200,600,200,400,3.86,100,0.0386,1247,1500,2747,106.034,"2023-06-28 04:33:06","Kanban Stock",2
"28","Spade Red 5mm","SL1-5",200,600,200,400,4.73,100,0.0473,669,600,1269,60.0237,"2023-06-28 04:33:06","Kanban Stock",2
"29","SPADE RED 6MM","SL1-6",200,600,200,400,5.61,100,0.0561,970,2000,2970,166.617,"2023-06-28 04:33:06","Kanban Stock",2
"32","Spade Blue 3mm","SL2-3",200,600,200,400,4.69,100,0.0469,856,0,856,40.1464,"2023-06-28 04:33:06","Kanban Stock",2
"33","Spade Blue 3mm","SL2-3.5",200,600,200,400,4.57,100,0.0457,935,2100,3035,138.7,"2023-06-28 04:33:06","Kanban Stock",2
"34","Spade Blue 5mm","SL2-5",200,600,200,400,3.85,100,0.0385,0,100,100,3.85,"2023-06-28 04:33:06","Kanban Stock",2
"35","Spade Blue 6mm Copper Sleeve","SL2-6CS",100,100,0,100,7.66,100,0.0766,81,0,81,6.2046,"2023-06-28 04:33:06","Kanban Stock",2
"48.1","Spade Yellow 5mm","SL5-5",100,100,0,100,9.91,100,0.0991,0,0,0,0,"2023-06-28 04:33:06","Kanban Stock",2
"163","M10 X 120MM SCREW","SSM10120ZP",50,150,50,100,1,1,1,66,100,166,166,"2023-06-28 04:33:06","Kanban Stock",2
"117","M10 X 16 Hex Crew","SSM1016Z8",100,300,100,200,0.1358,1,0.1358,205,400,605,82.159,"2023-06-28 04:33:06","Kanban Stock",2
"118","M10 X 20 HEX SET SCREW CL 8.8","SSM1020Z8",100,300,100,200,0.1241,1,0.1241,198,300,498,61.8018,"2023-06-28 04:33:06","Kanban Stock",2
"119","M10 X 25 HEX SET SCREW CL 8.8 ZINC SILVER","SSM1025Z8",100,300,100,200,0.1545,1,0.1545,123,450,573,88.5285,"2023-06-28 04:33:06","Kanban Stock",2
"161","M10 X 40MM SCREW","SSM1040Z8",100,300,100,200,0.2,1,0.2,100,450,550,110,"2023-06-28 04:33:06","Kanban Stock",2
"162","M10 X 50MM SCREW","SSM1050ZP",100,300,100,200,0.2,1,0.2,78,225,303,60.6,"2023-06-28 04:33:06","Kanban Stock",2
"125","SCREW M12 X 45 HEX SET 8.8 F/T","SSM1245Z8",50,150,50,100,0.3,1,0.3,58,450,508,152.4,"2023-06-28 04:33:06","Kanban Stock",2
"138","M5 x 20 Screw","SSM520Z8",200,400,200,200,0.0605,1,0.0605,627,0,627,37.9335,"2023-06-28 04:33:06","Kanban Stock",2
"148","6 X 25MM HEX HEAD SCREW","SSM625Z8",300,900,300,600,0.0424,1,0.0424,295,800,1095,46.428,"2023-06-28 04:33:06","Kanban Stock",2
"100","6 X 30MM HEX HEAD SCREW","SSM630Z8",200,200,0,200,0.9,1,0.9,62,0,62,55.8,"2023-06-28 04:33:06","Kanban Stock",2
"134","M8 x 25 Stailess Steel Bolts","SSM825S",100,100,0,100,0.1818,1,0.1818,134,400,534,97.0812,"2023-06-28 04:33:06","Kanban Stock",2
"112","M8 X 25 HEX SET SCREW CL 8.8 Z","SSM825Z8",400,1200,400,800,0.0766,1,0.0766,255,1200,1455,111.453,"2023-06-28 04:33:06","Kanban Stock",2
"113","M8X30 SET SCREW","SSM830Z8",200,600,200,400,0.07,1,0.07,197,2000,2197,153.79,"2023-06-28 04:33:06","Kanban Stock",2
"174","M8 X 45MM SCREW","SSM845S",250,250,0,250,0.1318,1,0.1318,137,700,837,110.317,"2023-06-28 04:33:06","Kanban Stock",2
"157","M8 X 75 HEX SET SCREW CL 8.8 ZINC SILVER","SSM875Z8",50,150,50,100,0.2273,1,0.2273,56,200,256,58.1888,"2023-06-28 04:33:06","Kanban Stock",2
"129","10G X 1 IN PAN XR SELF TAPPING","ST101PXZ",1000,3000,1000,2000,0.03,1,0.03,872,2000,2872,86.16,"2023-06-28 04:33:06","Kanban Stock",2
"49","SELF TAPPER 10G X ¾(20MM) PAN XR PHILLIPS ZINC","ST1034PXZ",1000,1000,1000,0,0.03,1,0.03,886,0,886,26.58,"2023-06-28 04:33:06","Kanban Stock",2
"173","8G X 1 IN PAN XR SELF TAPPING SCREW ZP","ST81PXZ",1000,1000,0,1000,27.3,1000,0.0273,778,2000,2778,75.8394,"2023-06-28 04:33:06","Kanban Stock",2
